dataset,model,readout_A,readout_B,n_seeds,mean_A,mean_B,mean_diff,std_diff,cohen_dz,t_stat,t_pval,w_pval,t_pval_bh,w_pval_bh,significant_bh
BACE,gcn,mean,sum,10,0.5841,0.6249,-0.0408,0.0863,-0.4733,-1.4966,0.16872633908194207,0.083984375,0.20247,0.12598,False
BACE,gcn,mean,max,10,0.5841,0.7246,-0.1405,0.0886,-1.5864,-5.0168,0.0007222472130897291,0.001953125,0.00144,0.00391,True
BACE,gcn,mean,attention,10,0.5841,0.5825,0.0016,0.1281,0.0124,0.0392,0.9695703199705874,1.0,0.96957,1.0,False
BACE,gcn,sum,max,10,0.6249,0.7246,-0.0997,0.0453,-2.201,-6.96,6.610700811586769e-05,0.001953125,0.0004,0.00391,True
BACE,gcn,sum,attention,10,0.6249,0.5825,0.0424,0.0654,0.6484,2.0503,0.070580541928348,0.10546875,0.10587,0.12656,False
BACE,gcn,max,attention,10,0.7246,0.5825,0.1421,0.0874,1.627,5.1449,0.0006073024821079793,0.001953125,0.00144,0.00391,True
BACE,gin,mean,sum,10,0.8365,0.8113,0.0251,0.0256,0.9797,3.0982,0.012759331604343026,0.02734375,0.07656,0.11133,False
BACE,gin,mean,max,10,0.8365,0.7963,0.0402,0.0517,0.7771,2.4574,0.03631158380872295,0.037109375,0.10893,0.11133,False
BACE,gin,mean,attention,10,0.8365,0.821,0.0155,0.0269,0.5751,1.8186,0.10232642652792341,0.064453125,0.20465,0.12891,False
BACE,gin,sum,max,10,0.8113,0.7963,0.0151,0.0408,0.369,1.1669,0.27325643981352093,0.275390625,0.32791,0.33047,False
BACE,gin,sum,attention,10,0.8113,0.821,-0.0096,0.0416,-0.2316,-0.7323,0.4825964301283946,0.431640625,0.4826,0.43164,False
BACE,gin,max,attention,10,0.7963,0.821,-0.0247,0.0514,-0.4806,-1.5196,0.16292103189629525,0.193359375,0.24438,0.29004,False
BACE,gat,mean,sum,10,0.602,0.6218,-0.0198,0.0794,-0.25,-0.7904,0.4496026868108552,0.4921875,0.53952,0.66797,False
BACE,gat,mean,max,10,0.602,0.6869,-0.0849,0.0765,-1.1102,-3.5108,0.006610345239280196,0.02734375,0.01322,0.05469,True
BACE,gat,mean,attention,10,0.602,0.5949,0.0071,0.1038,0.0687,0.2174,0.8327759160783503,0.6953125,0.83278,0.69531,False
BACE,gat,sum,max,10,0.6218,0.6869,-0.0651,0.0383,-1.6981,-5.3698,0.000450464405974548,0.001953125,0.0027,0.01172,True
BACE,gat,sum,attention,10,0.6218,0.5949,0.027,0.1004,0.2688,0.8499,0.41743451554119637,0.556640625,0.53952,0.66797,False
BACE,gat,max,attention,10,0.6869,0.5949,0.092,0.0766,1.2008,3.7972,0.0042355479599359225,0.013671875,0.01271,0.04102,True
BACE,graphsage,mean,sum,10,0.7287,0.6457,0.083,0.1126,0.7371,2.3309,0.04467806134446434,0.048828125,0.08936,0.09766,False
BACE,graphsage,mean,max,10,0.7287,0.7952,-0.0665,0.118,-0.5639,-1.7833,0.10820962515588639,0.193359375,0.12985,0.23203,False
BACE,graphsage,mean,attention,10,0.7287,0.6341,0.0946,0.1448,0.6533,2.066,0.06881336045115505,0.083984375,0.10322,0.12598,False
BACE,graphsage,sum,max,10,0.6457,0.7952,-0.1495,0.0857,-1.7454,-5.5194,0.000370780067855871,0.00390625,0.00111,0.01172,True
BACE,graphsage,sum,attention,10,0.6457,0.6341,0.0116,0.1101,0.1054,0.3332,0.7466302948085447,0.625,0.74663,0.625,False
BACE,graphsage,max,attention,10,0.7952,0.6341,0.1611,0.0729,2.21,6.9887,6.404246805027992e-05,0.001953125,0.00038,0.01172,True
