train_auc,val_auc,test_auc,best_epoch,run_name,dataset,model,readout,seed,split,checkpoint,hidden_dim,num_layers,dropout,lr,batch_size
0.5582783395714317,0.553763440860215,0.5408854166666666,1,BACE_gat_attention_seed0,BACE,gat,attention,0,scaffold,results/BACE_gat_attention_seed0_best.pt,128,3,0.3,0.001,32
0.7465334777945587,0.6876344086021505,0.6510416666666667,60,BACE_gat_attention_seed1,BACE,gat,attention,1,scaffold,results/BACE_gat_attention_seed1_best.pt,128,3,0.3,0.001,32
0.6952716308796814,0.7000000000000001,0.6145833333333334,41,BACE_gat_attention_seed2,BACE,gat,attention,2,scaffold,results/BACE_gat_attention_seed2_best.pt,128,3,0.3,0.001,32
0.6269822378357082,0.5833333333333333,0.50625,1,BACE_gat_attention_seed3,BACE,gat,attention,3,scaffold,results/BACE_gat_attention_seed3_best.pt,128,3,0.3,0.001,32
0.627147766323024,0.6150537634408602,0.5635416666666666,24,BACE_gat_attention_seed4,BACE,gat,attention,4,scaffold,results/BACE_gat_attention_seed4_best.pt,128,3,0.3,0.001,32
0.7033537986735834,0.6909946236559139,0.6252604166666667,39,BACE_gat_attention_seed5,BACE,gat,attention,5,scaffold,results/BACE_gat_attention_seed5_best.pt,128,3,0.3,0.001,32
0.737429410992186,0.6978494623655913,0.6333333333333333,61,BACE_gat_attention_seed6,BACE,gat,attention,6,scaffold,results/BACE_gat_attention_seed6_best.pt,128,3,0.3,0.001,32
0.7752752424103135,0.7642473118279569,0.6124999999999999,97,BACE_gat_attention_seed7,BACE,gat,attention,7,scaffold,results/BACE_gat_attention_seed7_best.pt,128,3,0.3,0.001,32
0.7180475299319281,0.6485215053763441,0.7348958333333333,87,BACE_gat_attention_seed8,BACE,gat,attention,8,scaffold,results/BACE_gat_attention_seed8_best.pt,128,3,0.3,0.001,32
0.6234719395013898,0.5591397849462365,0.46640625,4,BACE_gat_attention_seed9,BACE,gat,attention,9,scaffold,results/BACE_gat_attention_seed9_best.pt,128,3,0.3,0.001,32
0.8261335281371068,0.7806451612903227,0.6748697916666667,92,BACE_gat_max_seed0,BACE,gat,max,0,scaffold,results/BACE_gat_max_seed0_best.pt,128,3,0.3,0.001,32
0.8243879549981395,0.7206989247311828,0.7203124999999999,98,BACE_gat_max_seed1,BACE,gat,max,1,scaffold,results/BACE_gat_max_seed1_best.pt,128,3,0.3,0.001,32
0.7934081357935517,0.7053763440860216,0.7296874999999999,72,BACE_gat_max_seed2,BACE,gat,max,2,scaffold,results/BACE_gat_max_seed2_best.pt,128,3,0.3,0.001,32
0.8174193424825442,0.6849462365591398,0.7049479166666667,81,BACE_gat_max_seed3,BACE,gat,max,3,scaffold,results/BACE_gat_max_seed3_best.pt,128,3,0.3,0.001,32
0.7688798235822005,0.7134408602150537,0.6888020833333333,42,BACE_gat_max_seed4,BACE,gat,max,4,scaffold,results/BACE_gat_max_seed4_best.pt,128,3,0.3,0.001,32
0.7668907457263554,0.7341397849462366,0.67421875,51,BACE_gat_max_seed5,BACE,gat,max,5,scaffold,results/BACE_gat_max_seed5_best.pt,128,3,0.3,0.001,32
0.8168611968393634,0.7077956989247313,0.68828125,65,BACE_gat_max_seed6,BACE,gat,max,6,scaffold,results/BACE_gat_max_seed6_best.pt,128,3,0.3,0.001,32
0.8327738196861252,0.8129032258064516,0.65625,91,BACE_gat_max_seed7,BACE,gat,max,7,scaffold,results/BACE_gat_max_seed7_best.pt,128,3,0.3,0.001,32
0.7333117188697004,0.653763440860215,0.6764322916666667,50,BACE_gat_max_seed8,BACE,gat,max,8,scaffold,results/BACE_gat_max_seed8_best.pt,128,3,0.3,0.001,32
0.8076723137872919,0.7836021505376344,0.6552083333333333,68,BACE_gat_max_seed9,BACE,gat,max,9,scaffold,results/BACE_gat_max_seed9_best.pt,128,3,0.3,0.001,32
