dataset,model,readout,train_auc_mean,train_auc_std,val_auc_mean,val_auc_std,test_auc_mean,test_auc_std
BACE,gat,attention,0.6812,0.0688,0.6501,0.07,0.5949,0.0775
BACE,gat,max,0.7988,0.0326,0.7297,0.049,0.6869,0.025
BACE,gat,mean,0.7001,0.1034,0.6565,0.1117,0.602,0.0791
BACE,gat,sum,0.6883,0.047,0.6499,0.0509,0.6218,0.0429
BACE,gcn,attention,0.6704,0.0703,0.643,0.0585,0.5825,0.068
BACE,gcn,max,0.8232,0.0354,0.744,0.0478,0.7246,0.0464
BACE,gcn,mean,0.6593,0.0942,0.6338,0.0844,0.5841,0.0803
BACE,gcn,sum,0.7129,0.022,0.6711,0.0441,0.6249,0.0135
BACE,gin,attention,0.9257,0.0233,0.8581,0.0303,0.821,0.0412
BACE,gin,max,0.9287,0.0315,0.8366,0.0401,0.7963,0.0473
BACE,gin,mean,0.9308,0.0254,0.8619,0.0432,0.8365,0.0424
BACE,gin,sum,0.9146,0.02,0.8459,0.0402,0.8113,0.0392
BACE,graphsage,attention,0.7211,0.0533,0.6609,0.0565,0.6341,0.0568
BACE,graphsage,max,0.8743,0.0101,0.8003,0.0436,0.7952,0.0563
BACE,graphsage,mean,0.7911,0.1128,0.7594,0.0971,0.7287,0.1101
BACE,graphsage,sum,0.7171,0.0518,0.6662,0.0536,0.6457,0.0682
BBBP,gat,attention,0.4926,0.1261,,,,
BBBP,gat,max,0.4961,0.0585,,,,
BBBP,gat,mean,0.4723,0.1482,,,,
BBBP,gat,sum,0.4607,0.2017,,,,
BBBP,gcn,attention,0.4892,0.1126,,,,
BBBP,gcn,max,0.5151,0.0207,,,,
BBBP,gcn,mean,0.6298,0.0776,0.9852,,,
BBBP,gcn,sum,0.579,0.2238,,,,
BBBP,gin,attention,0.492,0.0547,,,,
BBBP,gin,max,0.5446,0.0332,,,,
BBBP,gin,mean,0.5648,0.0679,,,,
BBBP,gin,sum,0.5802,0.204,,,,
BBBP,graphsage,attention,0.4792,0.0715,,,,
BBBP,graphsage,max,0.519,0.0787,,,,
BBBP,graphsage,mean,0.4623,0.073,,,,
BBBP,graphsage,sum,0.4379,0.2315,,,,
